id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;default_on;
"2025";"FarmFresh Peas - Sprouts";"Quantity";"0.25 kg";"AA20252214";"18.000000";"20.000000";"49";"1";
"2026";"FarmFresh Parwal - Pointed Gourd";"Quantity";"5 kg";"AA20262013";"324.000000";"380.000000";"0";"0";
"2026";"FarmFresh Parwal - Pointed Gourd";"Quantity";"1 kg";"AA20262113";"64.800000";"76.000000";"0";"0";
"2026";"FarmFresh Parwal - Pointed Gourd";"Quantity";"0.5 kg";"AA20262215";"32.400000";"38.000000";"0";"1";
"2027";"FarmFresh Ratalu - Sweet Potato";"Quantity";"5 kg";"AA20272014";"261.000000";"320.000000";"50";"0";
"2027";"FarmFresh Ratalu - Sweet Potato";"Quantity";"1 kg";"AA20272114";"52.200000";"64.000000";"47";"0";
"2027";"FarmFresh Ratalu - Sweet Potato";"Quantity";"0.5 kg";"AA20272216";"26.100000";"32.000000";"50";"1";
"2028";"FarmFresh Mung - Sprouts";"Quantity";"3 kg";"AA20282015";"216.000000";"240.000000";"50";"0";
"2028";"FarmFresh Mung - Sprouts";"Quantity";"0.5 kg";"AA20282115";"36.000000";"40.000000";"50";"0";
"2028";"FarmFresh Mung - Sprouts";"Quantity";"0.25 kg";"AA20282217";"18.000000";"20.000000";"49";"1";
"2029";"FarmFresh Matki - Sprouts";"Quantity";"3 kg";"AA20292016";"216.000000";"240.000000";"50";"0";
"2029";"FarmFresh Matki - Sprouts";"Quantity";"0.5 kg";"AA20292116";"36.000000";"40.000000";"50";"0";
"2029";"FarmFresh Matki - Sprouts";"Quantity";"0.25 kg";"AA20292218";"18.000000";"20.000000";"48";"1";
"2030";"FarmFresh Suran";"Quantity";"5 kg";"AA20302017";"306.000000";"340.000000";"0";"0";
"2030";"FarmFresh Suran";"Quantity";"1 kg";"AA20302117";"61.200000";"68.000000";"0";"0";
"2030";"FarmFresh Suran";"Quantity";"0.5 kg";"AA20302219";"30.600000";"34.000000";"0";"1";
"2031";"FarmFresh Arbi";"Quantity";"5 kg";"AA20312018";"324.000000";"350.000000";"50";"0";
"2031";"FarmFresh Arbi";"Quantity";"1 kg";"AA20312118";"64.800000";"70.000000";"49";"0";
"2031";"FarmFresh Arbi";"Quantity";"0.5 kg";"AA20312220";"32.400000";"35.000000";"50";"1";
"2032";"FarmFresh Raw Banana";"Numbers";"5 pc";"AA20322019";"22.500000";"30.000000";"0";"1";
"2032";"FarmFresh Raw Banana";"Numbers";"2 pc";"AA20322119";"9.000000";"12.000000";"0";"0";
"2032";"FarmFresh Raw Banana";"Numbers";"1 pc";"AA20322221";"4.500000";"6.000000";"0";"0";
"2033";"FarmFresh Lemon";"Numbers";"5 pc";"AA20332020";"22.500000";"22.500000";"49";"0";
"2033";"FarmFresh Lemon";"Numbers";"2 pc";"AA20332120";"9.000000";"9.000000";"48";"0";
"2033";"FarmFresh Lemon";"Numbers";"1 pc";"AA20332222";"4.500000";"4.500000";"40";"1";
"2034";"FarmFresh - Beet Root";"Numbers";"5 pc";"AA20342021";"27.000000";"27.500000";"50";"0";
"2034";"FarmFresh - Beet Root";"Numbers";"2 pc";"AA20342121";"10.800000";"11.000000";"50";"0";
"2034";"FarmFresh - Beet Root";"Numbers";"1 pc";"AA20342223";"5.400000";"5.500000";"50";"1";
"2035";"FarmFresh Apple - Washington";"Quantity";"5 kg";"AA20352022";"945.000000";"950.000000";"50";"0";
"2035";"FarmFresh Apple - Washington";"Quantity";"1 kg";"AA20352122";"185.000000";"190.000000";"48";"0";
"2035";"FarmFresh Apple - Washington";"Quantity";"500 gm";"AA20352224";"90.000000";"95.000000";"47";"1";
"2036";"FarmFresh Banana";"Numbers";"24 pc";"AA20362023";"0.000000";"84.000000";"50";"0";
"2036";"FarmFresh Banana";"Numbers";"12 pc";"AA20362123";"0.000000";"42.000000";"49";"0";
"2036";"FarmFresh Banana";"Numbers";"6 pc";"AA20362225";"0.000000";"21.000000";"46";"1";
"2037";"FarmFresh  Orange - Imported";"Quantity";"5 kg";"AA20372024";"550.000000";"650.000000";"50";"0";
"2037";"FarmFresh  Orange - Imported";"Quantity";"1 kg";"AA20372124";"115.000000";"130.000000";"50";"0";
"2037";"FarmFresh  Orange - Imported";"Quantity";"0.5 kg";"AA20372226";"55.000000";"65.000000";"49";"1";
"2038";"FarmFresh Black Grapes";"Quantity";"3 kg";"AA20382025";"540.000000";"600.000000";"0";"0";
"2038";"FarmFresh Black Grapes";"Quantity";"0.5 kg";"AA20382125";"90.000000";"100.000000";"0";"0";
"2038";"FarmFresh Black Grapes";"Quantity";"0.25 kg";"AA20382227";"45.000000";"50.000000";"0";"0";
"2039";"FarmFresh Green Grapes";"Quantity";"5 kg";"AA20392026";"540.000000";"800.000000";"0";"0";
"2039";"FarmFresh Green Grapes";"Quantity";"1 kg";"AA20392126";"108.000000";"160.000000";"0";"0";
"2039";"FarmFresh Green Grapes";"Quantity";"0.5 kg";"AA20392228";"54.000000";"80.000000";"0";"1";
"2040";"FarmFresh  Maze - Sweet Corn";"Numbers";"5 pc";"AA20402027";"88.000000";"120.000000";"50";"0";
"2040";"FarmFresh  Maze - Sweet Corn";"Numbers";"2 pc";"AA20402127";"34.000000";"48.000000";"50";"0";
"2040";"FarmFresh  Maze - Sweet Corn";"Numbers";"1 pc";"AA20402229";"16.000000";"24.000000";"50";"1";
"2041";"FarmFresh  Mausambi - Sweet Lime";"Quantity";"5 kg";"AA20412028";"375.000000";"390.000000";"50";"0";
"2041";"FarmFresh  Mausambi - Sweet Lime";"Quantity";"1 kg";"AA20412128";"72.000000";"78.000000";"50";"0";
"2041";"FarmFresh  Mausambi - Sweet Lime";"Quantity";"0.5 kg";"AA20412230";"35.000000";"39.000000";"49";"1";
"2042";"FarmFresh Coconut - Nariyal";"Numbers";"5 pc";"AA20422029";"0.000000";"135.000000";"50";"0";
"2042";"FarmFresh Coconut - Nariyal";"Numbers";"2 pc";"AA20422129";"0.000000";"52.000000";"50";"0";
"2042";"FarmFresh Coconut - Nariyal";"Numbers";"1 pc";"AA20422231";"22.000000";"27.000000";"50";"1";
"2043";"FarmFresh Watermelon - Tarbuj";"Numbers";"5 pc";"AA20432030";"207.000000";"290.000000";"50";"0";
"2043";"FarmFresh Watermelon - Tarbuj";"Numbers";"2 pc";"AA20432130";"82.800000";"116.000000";"50";"0";
"2043";"FarmFresh Watermelon - Tarbuj";"Numbers";"1 pc";"AA20432232";"41.400000";"58.000000";"49";"1";
"2044";"FarmFresh Pineapple";"Numbers";"5 pc";"AA20442031";"320.000000";"325.000000";"50";"0";
"2044";"FarmFresh Pineapple";"Numbers";"2 pc";"AA20442131";"125.000000";"130.000000";"50";"0";
"2044";"FarmFresh Pineapple";"Numbers";"1 pc";"AA20442233";"0.000000";"65.000000";"50";"1";
"2045";"FarmFresh Papaya - Papita";"Numbers";"5 pc";"AA20452032";"171.000000";"145.000000";"50";"0";
"2045";"FarmFresh Papaya - Papita";"Numbers";"2 pc";"AA20452132";"68.400000";"58.000000";"50";"0";
"2045";"FarmFresh Papaya - Papita";"Numbers";"1 pc";"AA20452234";"34.200000";"29.000000";"48";"1";
"2046";"FarmFresh Guava";"Quantity";"5 kg";"AA20462033";"400.000000";"460.000000";"50";"0";
"2046";"FarmFresh Guava";"Quantity";"1 kg";"AA20462133";"0.000000";"92.000000";"49";"0";
"2046";"FarmFresh Guava";"Quantity";"0.5 kg";"AA20462235";"28.800000";"46.000000";"49";"1";
"2047";"FarmFresh  Strawberry";"Quantity";"2 kg";"AA20472034";"0.000000";"380.000000";"0";"0";
"2047";"FarmFresh  Strawberry";"Quantity";"400 gm";"AA20472134";"0.000000";"76.000000";"0";"0";
"2047";"FarmFresh  Strawberry";"Quantity";"200 gm";"AA20472236";"0.000000";"38.000000";"0";"1";
"2048";"FarmFresh  Pomegranate - Anar";"Quantity";"3 kg";"AA20482035";"560.000000";"570.000000";"50";"0";
"2048";"FarmFresh  Pomegranate - Anar";"Quantity";"1 kg";"AA20482135";"185.000000";"190.000000";"50";"0";
"2048";"FarmFresh  Pomegranate - Anar";"Quantity";"0.5 kg";"AA20482237";"90.000000";"95.000000";"50";"1";
"2049";"FarmFresh Mango Alphonso Size A";"Numbers";"24 pc";"AA20492036";"660.000000";"796.000000";"50";"0";
"2049";"FarmFresh Mango Alphonso Size A";"Numbers";"12 pc";"AA20492136";"330.000000";"398.000000";"50";"0";
"2049";"FarmFresh Mango Alphonso Size A";"Numbers";"6 pc";"AA20492238";"160.000000";"199.000000";"50";"1";
"2050";"FarmFresh Mango Alphonso - Size AA";"Numbers";"18 pc";"AA20502037";"726.300000";"747.000000";"50";"0";
"2050";"FarmFresh Mango Alphonso - Size AA";"Numbers";"12 pc";"AA20502137";"484.200000";"498.000000";"50";"0";
"2050";"FarmFresh Mango Alphonso - Size AA";"Numbers";"6 pc";"AA20502239";"242.100000";"249.000000";"50";"1";
"2051";"FarmFresh Mango Alphonso Size AAA";"Numbers";"12 pc";"AA20512138";"585.000000";"598.000000";"49";"0";
"2051";"FarmFresh Mango Alphonso Size AAA";"Numbers";"6 pc";"AA20512240";"292.500000";"299.000000";"49";"1";
"2052";"FarmFresh Mango Badami";"Quantity";"2 kg";"AA20522038";"177.000000";"196.000000";"50";"0";
"2052";"FarmFresh Mango Badami";"Quantity";"1 kg";"AA20522139";"88.200000";"98.000000";"50";"0";
"2052";"FarmFresh Mango Badami";"Quantity";"0.50 kg";"AA20522241";"0.000000";"49.000000";"50";"1";
