id_product;active;product_name;manufacturer;attribute_name;wholesale_price;price;quantity;
"86";"1";"Brooke Bond Taj Mahal";"Brooke Bond";"250 gm";"103.500000";"115.000000";"50";
"86";"1";"Brooke Bond Taj Mahal";"Brooke Bond";"500 gm";"230.000000";"242.000000";"49";
"86";"1";"Brooke Bond Taj Mahal";"Brooke Bond";"1 kg";"386.100000";"429.000000";"50";
"87";"1";"Wagh Bakri Premium Leaf Tea - Carton Pack";"Wagh Bakri";"250 gm";"91.800000";"102.000000";"50";
"88";"1";"Wagh Bakri Premium Leaf Tea - Plastic Container";"Wagh Bakri";"250 gm";"90.000000";"100.000000";"44";
"89";"1";"Girnar Green Tea ";"Girnar";"100 gm";"81.000000";"90.000000";"50";
"90";"1";"Girnar Masala Chai - Kesari";"Girnar";"25 bags";"58.500000";"65.000000";"50";
"91";"1";"Lipton Darjeeling Tea";"";"500 gm";"589.500000";"655.000000";"50";
"91";"1";"Lipton Darjeeling Tea";"";"250 gm";"298.800000";"332.000000";"50";
"92";"1";"Tata Tea Premium - Plastic Package";"";"500 gm";"179.100000";"199.000000";"49";
"92";"1";"Tata Tea Premium - Plastic Package";"";"250 gm";"91.800000";"102.000000";"50";
"92";"1";"Tata Tea Premium - Plastic Package";"";"500 gm";"176.400000";"196.000000";"49";
"92";"1";"Tata Tea Premium - Plastic Package";"";"250 gm";"91.800000";"102.000000";"50";
"93";"1";"TajMahal Darjeeling Tea - Carton Package";"";"500 gm";"192.600000";"214.000000";"50";
"93";"1";"TajMahal Darjeeling Tea - Carton Package";"";"100 gm";"44.100000";"49.000000";"50";
"93";"1";"TajMahal Darjeeling Tea - Carton Package";"";"250 gm";"103.500000";"115.000000";"50";
"93";"1";"TajMahal Darjeeling Tea - Carton Package";"";"1 kg";"364.500000";"405.000000";"50";
"94";"1";"Brooke Bond Taj Mahal - Tea Bag ";"Brooke Bond";"25 bags";"45.000000";"50.000000";"50";
"95";"1";"Kohinoor Super Basmati Rice";"";"1 kg";"139.500000";"155.000000";"50";
"96";"1";"Kohinoor Extra Long Basmati Rice";"Kohinoor";"1 kg";"179.100000";"199.000000";"50";
"96";"1";"Kohinoor Extra Long Basmati Rice";"Kohinoor";"5 kg";"855.000000";"950.000000";"50";
"97";"1";"Kohinoor Authentic Basmati Rice";"Kohinoor";"1 kg";"234.000000";"260.000000";"50";
"98";"1";" India Gate Basmati Rice - Classic";"India Gate";"1 kg";"180.000000";"200.000000";"47";
"99";"1";"Everest Dry Ginger (Adarak) Powder- Carton Pack";"Everest Masala";"100 gm";"76.500000";"85.000000";"50";
"99";"1";"Everest Dry Ginger (Adarak) Powder- Carton Pack";"Everest Masala";"50 gm";"40.500000";"45.000000";"50";
"100";"1";"Everest Cumin (Jeera) Powder -Carton Pack";"Everest Masala";"50 gm";"21.600000";"24.000000";"47";
"101";"1";"Everest Black Pepper (Kali Mirch) - Carton Pack";"Everest Masala";"50 gm";"80.000000";"90.000000";"48";
"102";"1";"Everest White Pepper Powder - Carton Pack";"";"50 gm";"106.200000";"118.000000";"50";
"102";"1";"Everest White Pepper Powder - Carton Pack";"";"100 gm";"153.900000";"171.000000";"50";
"103";"1";"Everest Kashmiri Lal (Teekha Powder) - Carton Pack ";"";"100 gm";"42.000000";"47.000000";"48";
"104";"1";"Everest Dry Mango Powder -Carton Pack";"Everest Masala";"50 gm";"31.500000";"35.000000";"49";
"105";"1";"Everest Turmeric (Haldi) Powder - Plastic Pack";"Everest Masala";"500 gm";"81.000000";"90.000000";"46";
"105";"1";"Everest Turmeric (Haldi) Powder - Plastic Pack";"Everest Masala";"200 gm";"39.000000";"44.000000";"49";
