id_product;product_name;attribute_name;attribute_value;Reference;wholesale_price;price;quantity;category;default_on;
"48";"Scooter Mustard Oil Grade - Jar Package";"";"";"";"";"";"";"Edible Oils & Ghee";"";
"48";"Scooter Mustard Oil Grade - Jar Package";"";"";"";"";"";"";"Edible Oils & Ghee";"";
"49";"Brooke Bond Red Label Carton";"Quantity";"100 gm";"AAAAAA4949";"31.500000";"35.000000";"50";"Tea";"0";
"49";"Brooke Bond Red Label Carton";"Quantity";"250 gm";"AAAAAA4950";"90.000000";"95.000000";"50";"Tea";"0";
"49";"Brooke Bond Red Label Carton";"Quantity";"500 gm";"AAAAAA4951";"160.200000";"178.000000";"50";"Tea";"1";
"49";"Brooke Bond Red Label Carton";"Quantity";"1 kg";"AAAAAA4952";"315.000000";"350.000000";"50";"Tea";"0";
"49";"Brooke Bond Red Label Carton";"Quantity";"100 gm";"AAAAAA4949";"31.500000";"35.000000";"50";"Tea";"0";
"49";"Brooke Bond Red Label Carton";"Quantity";"250 gm";"AAAAAA4950";"90.000000";"95.000000";"50";"Tea";"0";
"49";"Brooke Bond Red Label Carton";"Quantity";"500 gm";"AAAAAA4951";"160.200000";"178.000000";"50";"Tea";"1";
"49";"Brooke Bond Red Label Carton";"Quantity";"1 kg";"AAAAAA4952";"315.000000";"350.000000";"50";"Tea";"0";
"51";"Pantene Pro-V Lively Clean Shampoo";"Volume";"80 ml";"AAAAAA5153";"67.500000";"75.000000";"50";"Shampoo ";"1";
"61";"Pantene Pro-V Anti Dandruff Shampoo";"Volume";"180 ml";"AAAAAA6154";"139.500000";"155.000000";"50";"Shampoo ";"1";
"62";"Fortune Filtered Groundnut Oil";"Volume";"1 ltr";"AAAAAA6255";"120.000000";"160.000000";"50";"Other Oils";"1";
"62";"Fortune Filtered Groundnut Oil";"Volume";"1 ltr";"AAAAAA6255";"120.000000";"160.000000";"50";"Coconut Oil";"1";
"63";"Fortune Rice Bran Health Oil";"Volume";"1 ltr";"AAAAAA6356";"103.500000";"115.000000";"50";"Other Oils";"1";
"63";"Fortune Rice Bran Health Oil";"Volume";"1 ltr";"AAAAAA6356";"103.500000";"115.000000";"50";"Coconut Oil";"1";
"64";"Fortune Mustard Oil - Kachi Ghani";"Volume";"1 ltr";"AAAAAA6458";"120.600000";"134.000000";"50";"Mustard Oil";"1";
"64";"Fortune Mustard Oil - Kachi Ghani";"Volume";"500 ml";"AAAAAA6457";"61.200000";"68.000000";"50";"Mustard Oil";"0";
"64";"Fortune Mustard Oil - Kachi Ghani";"Volume";"1 ltr";"AAAAAA6458";"120.600000";"134.000000";"50";"Mustard Oil";"1";
"64";"Fortune Mustard Oil - Kachi Ghani";"Volume";"500 ml";"AAAAAA6457";"61.200000";"68.000000";"50";"Mustard Oil";"0";
"65";"Fortune Plus Soya Health - Jar Package";"Volume";"5 ltr";"AAAA652340";"432.000000";"480.000000";"50";"Coconut Oil";"1";
"65";"Fortune Plus Soya Health - Jar Package";"Volume";"5 ltr";"AAAA652340";"432.000000";"480.000000";"50";"Other Oils";"1";
"66";"Fortune Sunlite Refined Oil - Jar Package";"Volume";"5 ltr";"AAAA662341";"540.000000";"600.000000";"46";"Sunflower Oil";"1";
"66";"Fortune Sunlite Refined Oil - Jar Package";"Volume";"5 ltr";"AAAA662341";"540.000000";"600.000000";"46";"Sunflower Oil";"1";
"67";"Nature Fresh Acti-Lite - Pouch Package";"";"";"";"";"";"";"Sunflower Oil";"";
"67";"Nature Fresh Acti-Lite - Pouch Package";"";"";"";"";"";"";"Sunflower Oil";"";
"68";"Gemini Vanaspati - Pouch Package";"Volume";"1 ltr";"AAAAAA6859";"72.000000";"80.000000";"50";"Vanaspati";"1";
"68";"Gemini Vanaspati - Pouch Package";"Volume";"1 ltr";"AAAAAA6859";"72.000000";"80.000000";"50";"Vanaspati";"1";
"69";"Gemini Pure Groundnut Oil - Pouch Package";"Volume";"1 ltr";"AAAAAA6960";"108.000000";"170.000000";"45";"Other Oils";"1";
"69";"Gemini Pure Groundnut Oil - Pouch Package";"Volume";"1 ltr";"AAAAAA6960";"108.000000";"170.000000";"45";"Coconut Oil";"1";
"70";"Gemini Gold - Sunflower + Olive Oil Pouch Package";"Volume";"1 ltr";"AAAAAA7061";"81.000000";"135.000000";"48";"Sunflower Oil";"1";
"70";"Gemini Gold - Sunflower + Olive Oil Pouch Package";"Volume";"1 ltr";"AAAAAA7061";"81.000000";"135.000000";"48";"Sunflower Oil";"1";
"72";"Fortune Sunlite Oil - Pouch Package";"Volume";"1 ltr";"AAAA722342";"103.500000";"115.000000";"50";"Sunflower Oil";"1";
"72";"Fortune Sunlite Oil - Pouch Package";"Volume";"1 ltr";"AAAA722342";"103.500000";"115.000000";"50";"Sunflower Oil";"1";
"73";"Fortune Sunlite Oil - Bottle Package";"Volume";"500 ml";"AAAA732343";"58.500000";"65.000000";"50";"Sunflower Oil";"1";
"73";"Fortune Sunlite Oil - Bottle Package";"Volume";"500 ml";"AAAA732343";"58.500000";"65.000000";"50";"Sunflower Oil";"1";
"74";"Sundrop Lite ";"Volume";"5 ltr";"AAAAAA7462";"436.500000";"485.000000";"50";"Sunflower Oil";"0";
"74";"Sundrop Lite ";"Volume";"1 ltr";"AAAAAA7463";"165.000000";"175.000000";"49";"Sunflower Oil";"1";
"74";"Sundrop Lite ";"Volume";"500 ml";"AAAAAA7464";"45.000000";"50.000000";"50";"Sunflower Oil";"0";
"74";"Sundrop Lite ";"Volume";"5 ltr";"AAAAAA7462";"436.500000";"485.000000";"50";"Sunflower Oil";"0";
"74";"Sundrop Lite ";"Volume";"1 ltr";"AAAAAA7463";"165.000000";"175.000000";"49";"Sunflower Oil";"1";
"74";"Sundrop Lite ";"Volume";"500 ml";"AAAAAA7464";"45.000000";"50.000000";"50";"Sunflower Oil";"0";
"75";"Saffola Gold - Losorb Technology Pouch Package";"Volume";"1 ltr";"AAAAAA7565";"135.000000";"150.000000";"47";"Other Oils";"1";
"75";"Saffola Gold - Losorb Technology Pouch Package";"Volume";"1 ltr";"AAAAAA7565";"135.000000";"150.000000";"47";"Coconut Oil";"1";
"76";"Gemini Mustard Oil - Bottle Package";"Volume";"1 ltr";"AAAAAA7666";"108.000000";"120.000000";"49";"Mustard Oil";"1";
"76";"Gemini Mustard Oil - Bottle Package";"Volume";"500 ml";"AAAAAA7667";"54.000000";"60.000000";"50";"Mustard Oil";"0";
"76";"Gemini Mustard Oil - Bottle Package";"Volume";"1 ltr";"AAAAAA7666";"108.000000";"120.000000";"49";"Mustard Oil";"1";
"76";"Gemini Mustard Oil - Bottle Package";"Volume";"500 ml";"AAAAAA7667";"54.000000";"60.000000";"50";"Mustard Oil";"0";
"78";"Pillsbury Chakki Fresh Atta";"Quantity";"2 Kg";"";"80.000000";"86.000000";"49";"Wheat Atta";"0";
